T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00619,s__dorea_formicigenerans,0.84,0.6,1,0.11,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00619,s__bacteroides_vulgatus,0.84,0.6,0.26,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00296,s__coprococcus_catus,0.84,0.22,0.22,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00244,s__eubacterium_ventriosum,0.84,0.88,0.12,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00244,s__dorea_longicatena,0.84,0.88,0.91,0.81,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00139,s__eubacterium_ramulus,0.84,0.36,0.12,0.3,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00014,s__bacteroides_stercoris,0.84,0.24,0.15,0.19,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00014,s__bacteroides_stercoris,0.84,0.24,0.15,0.33,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__acetyl-coa c-acetyltransferase,m__hmdb00014,s__anaerostipes_hadrus,0.84,0.24,0.14,0.14,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__phosphoglycerate kinase,m__hmdb02329,s__propionibacterium_acnes,0.87,0.57,1,0.83,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__phosphoglycerate kinase,m__hmdb00511,s__mitsuokella_unclassified,0.87,0.19,0.43,0.35,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__phosphoglycerate kinase,m__hmdb00039,s__eubacterium_siraeum,0.87,0.3,0.42,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dna-directed rna polymerase,m__hmdb00365,s__subdoligranulum_unclassified,0.14,0.1,1,0.1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dna-directed rna polymerase,m__hmdb00365,s__parabacteroides_distasonis,0.14,0.1,0.25,0.46,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dna-directed rna polymerase,m__hmdb00365,s__parabacteroides_distasonis,0.14,0.1,0.25,0.5,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dna-directed rna polymerase,m__hmdb00365,s__bacteroides_vulgatus,0.14,0.1,1,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dna-directed rna polymerase,m__hmdb00365,s__bacteroides_vulgatus,0.14,0.1,1,0.83,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dna-directed rna polymerase,m__hmdb00365,s__bacteroides_cellulosilyticus,0.14,0.1,1,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,m__hmdb00626,s__lachnospiraceae_bacterium_3_1_46faa,0.7,0.57,1,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__serine o-acetyltransferase,m__hmdb00036,s__eubacterium_rectale,0.8,0.11,0.38,1,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__serine o-acetyltransferase,m__hmdb00036,s__escherichia_coli,0.8,0.11,0.21,0.5,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__serine o-acetyltransferase,m__hmdb00036,s__clostridium_leptum,0.8,0.11,0.52,0.28,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__peroxiredoxin,m__hmdb00094,s__streptococcus_salivarius,0.1,0.91,0.88,0.3,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__glyceraldehyde-3-phosphate dehydrogenase phosphorylating,m__hmdb00247,s__c2likevirus_unclassified,0.6,0.32,0.93,0.14,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ramulus,,g__pyridoxal 5-phosphate synthase glutamine hydrolyzing,m__hmdb00764,s__eubacterium_ventriosum,0.22,0.14,0.2,0.9,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ramulus,,g__pyridoxal 5-phosphate synthase glutamine hydrolyzing,m__hmdb00764,s__bacteroides_faecis,0.22,0.14,0.25,0.96,FALSE,TRUE,FALSE,FALSE
s__eubacterium_eligens,,g__adenosylmethionine--8-amino-7-oxononanoate transaminase,m__hmdb01232,s__parabacteroides_unclassified,0.28,0.23,0.64,0.17,FALSE,TRUE,FALSE,FALSE
s__eubacterium_eligens,,g__adenosylmethionine--8-amino-7-oxononanoate transaminase,m__hmdb00097,s__bacteroides_eggerthii,0.28,0.33,0.31,0.32,FALSE,TRUE,FALSE,FALSE
s__eubacterium_eligens,,g__adenosylmethionine--8-amino-7-oxononanoate transaminase,m__hmdb00067,s__clostridium_clostridioforme,0.28,0.22,0.2,0.12,FALSE,TRUE,FALSE,FALSE
s__eubacterium_eligens,,g__adenosylmethionine--8-amino-7-oxononanoate transaminase,m__hmdb00067,s__clostridium_clostridioforme,0.28,0.22,0.2,0.32,FALSE,TRUE,FALSE,FALSE
s__eggerthella_unclassified,,g__glutamate dehydrogenase,m__hmdb01232,s__eggerthella_unclassified,0.74,0.69,0.17,1,FALSE,TRUE,FALSE,FALSE
s__eggerthella_unclassified,,g__glutamate dehydrogenase,m__hmdb00806,s__clostridium_clostridioforme,0.74,1,1,0.1,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00806,s__eubacterium_siraeum,0.11,0.95,0.94,0.12,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00806,s__dorea_unclassified,0.11,0.95,0.17,1,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00511,s__bacteroides_xylanisolvens,0.11,0.4,0.49,0.17,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00511,s__bacteroides_xylanisolvens,0.11,0.4,0.49,0.14,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00239,s__alistipes_putredinis,0.11,0.2,0.14,0.1,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00239,s__alistipes_putredinis,0.11,0.2,0.14,0.82,FALSE,TRUE,FALSE,FALSE
s__dorea_unclassified,,g__methionyl aminopeptidase,m__hmdb00020,s__eubacterium_eligens,0.11,0.9,0.74,0.32,FALSE,TRUE,FALSE,FALSE
s__dorea_longicatena,,g__ribulose-phosphate 3-epimerase,m__hmdb03464,s__eubacterium_siraeum,0.94,0.75,0.25,0.1,FALSE,TRUE,FALSE,FALSE
s__dorea_longicatena,,g__ribulose-phosphate 3-epimerase,m__hmdb03464,s__eubacterium_siraeum,0.94,0.75,0.25,0.13,FALSE,TRUE,FALSE,FALSE
s__dorea_longicatena,,g__ribulose-phosphate 3-epimerase,m__hmdb01232,s__dorea_longicatena,0.94,0.15,0.92,1,FALSE,TRUE,FALSE,FALSE
s__dorea_formicigenerans,,g__triose-phosphate isomerase,m__hmdb11718,s__alistipes_finegoldii,0.38,0.61,0.89,0.11,FALSE,TRUE,FALSE,FALSE
s__dorea_formicigenerans,,g__rna helicase,m__hmdb00118,s__ruminococcus_torques,0.15,0.71,0.8,0.81,FALSE,TRUE,FALSE,FALSE
s__dorea_formicigenerans,,g__rna helicase,m__hmdb00118,s__ruminococcus_torques,0.15,0.71,0.8,1,FALSE,TRUE,FALSE,FALSE
s__dorea_formicigenerans,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb02123,s__dorea_formicigenerans,0.46,0.22,1,1,FALSE,TRUE,FALSE,FALSE
s__dorea_formicigenerans,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00764,s__eubacterium_ventriosum,0.54,0.31,0.2,0.14,FALSE,TRUE,FALSE,FALSE
s__dialister_invisus,,g__phosphopyruvate hydratase,m__hmdb01149,s__dorea_unclassified,1,0.54,0.26,0.39,FALSE,TRUE,FALSE,FALSE
s__dialister_invisus,,g__phosphopyruvate hydratase,m__hmdb00873,s__dialister_invisus,1,0.86,0.99,1,FALSE,TRUE,FALSE,FALSE
s__dialister_invisus,,g__glycerol kinase,m__hmdb11718,s__coprococcus_catus,0.13,0.85,0.23,0.46,FALSE,TRUE,FALSE,FALSE
s__dialister_invisus,,g__glycerol kinase,m__hmdb00511,s__ruminococcaceae_bacterium_d16,0.13,0.37,0.11,0.29,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb02329,s__bilophila_wadsworthia,0.15,0.49,0.35,0.92,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00806,s__anaerotruncus_colihominis,0.15,1,0.13,0.22,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00626,s__subdoligranulum_unclassified,0.15,0.12,0.19,0.58,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00626,s__parasutterella_excrementihominis,0.15,0.12,0.22,0.25,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00626,s__bilophila_unclassified,0.15,0.12,0.85,0.3,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00626,s__bilophila_unclassified,0.15,0.12,0.85,0.7,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00626,s__alistipes_shahii,0.15,0.12,0.56,0.18,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00036,s__alistipes_putredinis,0.15,0.16,0.72,0.34,FALSE,TRUE,FALSE,FALSE
s__coprococcus_comes,,g__glutamate dehydrogenase,m__hmdb00019,s__coprococcus_comes,0.15,0.15,0.15,1,FALSE,TRUE,FALSE,FALSE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__coprococcus_catus,0.87,1,1,1,FALSE,TRUE,FALSE,FALSE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__clostridium_citroniae,0.87,1,0.55,0.33,FALSE,TRUE,FALSE,FALSE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00764,s__oscillibacter_unclassified,0.87,0.57,0.22,0.88,FALSE,TRUE,FALSE,FALSE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00764,s__bacteroides_ovatus,0.87,0.57,0.12,0.37,FALSE,TRUE,FALSE,FALSE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00764,s__bacteroides_ovatus,0.87,0.57,0.12,0.56,FALSE,TRUE,FALSE,FALSE
s__coprococcus_catus,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00511,s__dialister_invisus,0.87,0.23,0.35,0.27,FALSE,TRUE,FALSE,FALSE
s__collinsella_aerofaciens,,g__glutamate dehydrogenase,m__hmdb01149,s__collinsella_aerofaciens,0.34,0.33,0.31,1,FALSE,TRUE,FALSE,FALSE
s__collinsella_aerofaciens,,g__glutamate dehydrogenase,m__hmdb00956,s__bacteroides_eggerthii,0.34,1,0.17,0.13,FALSE,TRUE,FALSE,FALSE
s__collinsella_aerofaciens,,g__glutamate dehydrogenase,m__hmdb00956,s__bacteroides_eggerthii,0.34,1,0.17,0.14,FALSE,TRUE,FALSE,FALSE
s__collinsella_aerofaciens,,g__glutamate dehydrogenase,m__hmdb00806,s__veillonella_atypica,0.34,1,0.12,0.71,FALSE,TRUE,FALSE,FALSE
s__collinsella_aerofaciens,,g__glutamate dehydrogenase,m__hmdb00806,s__veillonella_atypica,0.34,1,0.12,0.18,FALSE,TRUE,FALSE,FALSE
s__collinsella_aerofaciens,,g__glutamate dehydrogenase,m__hmdb00806,s__flavonifractor_plautii,0.34,1,0.19,0.4,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__transaldolase,m__hmdb02329,s__roseburia_intestinalis,0.18,0.53,0.67,0.42,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb02322,s__sutterella_wadsworthensis,0.12,0.24,0.51,0.38,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb02123,s__parabacteroides_unclassified,0.12,0.45,0.76,0.23,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00699,s__bifidobacterium_adolescentis,0.12,1,0.13,0.42,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00289,s__eubacterium_eligens,0.12,0.2,0.17,0.23,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00139,s__flavonifractor_plautii,0.12,0.19,0.23,0.95,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00139,s__flavonifractor_plautii,0.12,0.19,0.23,0.95,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__roseburia_unclassified,0.12,0.28,0.98,0.96,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__coprobacillus_unclassified,0.12,0.28,0.18,0.64,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__coprobacillus_unclassified,0.12,0.28,0.18,0.64,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__clostridium_symbiosum,0.12,0.28,0.22,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__clostridium_clostridioforme,0.12,0.28,0.79,0.9,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__clostridiales_bacterium_1_7_47faa,0.12,0.28,0.54,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_symbiosum,,g__bacterial non-heme ferritin,m__hmdb00089,s__clostridiales_bacterium_1_7_47faa,0.12,0.28,0.54,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_leptum,,g__nadh,m__hmdb01232,s__anaerostipes_hadrus,0.86,0.2,0.67,0.12,FALSE,TRUE,FALSE,FALSE
s__clostridium_leptum,,g__nadh,m__hmdb00812,s__haemophilus_parainfluenzae,0.86,0.32,0.25,0.27,FALSE,TRUE,FALSE,FALSE
s__clostridium_leptum,,g__nadh,m__hmdb00039,s__streptococcus_salivarius,0.86,0.61,0.47,0.12,FALSE,TRUE,FALSE,FALSE
s__clostridium_leptum,,g__nadh,m__hmdb00039,s__clostridium_leptum,0.86,0.61,0.24,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_hathewayi,,g__phosphopyruvate hydratase,m__hmdb01149,s__dorea_unclassified,0.7,0.54,0.26,0.24,FALSE,TRUE,FALSE,FALSE
s__clostridium_hathewayi,,g__phosphopyruvate hydratase,m__hmdb00873,s__parabacteroides_merdae,0.7,0.86,0.99,0.8,FALSE,TRUE,FALSE,FALSE
s__clostridium_hathewayi,,g__phosphopyruvate hydratase,m__hmdb00873,s__bacteroides_finegoldii,0.7,0.86,0.23,0.52,FALSE,TRUE,FALSE,FALSE
s__clostridium_hathewayi,,g__phosphopyruvate hydratase,m__hmdb00244,s__clostridium_hathewayi,0.7,0.84,0.8,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00209,s__holdemania_filiformis,0.47,0.17,0.32,0.2,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00209,s__clostridiales_bacterium_1_7_47faa,0.47,0.17,0.1,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__roseburia_unclassified,0.47,0.42,0.98,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__roseburia_unclassified,0.47,0.42,0.98,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__eubacterium_eligens,0.47,0.42,0.25,0.32,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__eubacterium_eligens,0.47,0.42,0.25,0.68,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__coprobacillus_unclassified,0.47,0.42,0.18,0.36,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__clostridium_symbiosum,0.47,0.42,0.22,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00089,s__clostridium_clostridioforme,0.47,0.42,0.79,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__glyceraldehyde-3-phosphate dehydrogenase phosphorylating,m__hmdb00870,s__bilophila_wadsworthia,0.16,0.93,0.23,0.82,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__glyceraldehyde-3-phosphate dehydrogenase phosphorylating,m__hmdb00247,s__veillonella_dispar,0.16,0.32,0.41,0.21,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__glyceraldehyde-3-phosphate dehydrogenase phosphorylating,m__hmdb00097,s__bacteroides_eggerthii,0.16,0.47,0.31,0.31,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__l-serine ammonia-lyase,m__hmdb00619,s__veillonella_unclassified,0.98,0.17,0.28,0.16,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__l-serine ammonia-lyase,m__hmdb00089,s__clostridium_symbiosum,0.98,0.3,0.22,0.27,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb02123,s__clostridium_citroniae,1,1,0.55,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb01547,s__parasutterella_excrementihominis,1,0.65,0.17,0.11,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb00239,s__coprobacillus_unclassified,1,0.1,0.11,0.34,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb00239,s__bacteroides_eggerthii,1,0.1,0.26,0.17,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb00063,s__burkholderiales_bacterium_1_1_47,1,0.3,0.87,0.21,FALSE,TRUE,FALSE,FALSE
s__clostridium_citroniae,,g__dna helicase,m__hmdb00063,s__bacteroides_caccae,1,0.3,0.13,0.13,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb01991,s__bacteroides_caccae,0.27,0.87,0.25,0.82,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00139,s__ruminococcus_lactaris,0.27,0.13,0.94,0.34,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00139,s__clostridium_bolteae,0.27,0.13,0.92,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00139,s__bifidobacterium_longum,0.27,0.13,0.11,0.28,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00138,s__clostridium_leptum,0.27,0.78,0.75,0.71,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00138,s__clostridium_hathewayi,0.27,0.78,0.94,0.81,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00138,s__bacteroides_cellulosilyticus,0.27,0.78,0.19,0.38,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00128,s__alistipes_shahii,0.27,0.25,0.51,0.1,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,m__hmdb00118,s__lachnospiraceae_bacterium_2_1_58faa,0.27,0.19,0.89,0.89,FALSE,TRUE,FALSE,FALSE
s__clostridium_bartlettii,,g__dihydroorotate dehydrogenase quinone,m__hmdb00715,s__clostridium_bartlettii,0.58,0.93,0.26,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__rna helicase,m__hmdb01895,s__clostridium_asparagiforme,0.64,0.87,0.41,1,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__rna helicase,m__hmdb00118,s__bacteroides_xylanisolvens,0.64,0.71,1,0.49,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__rna helicase,m__hmdb00118,s__bacteroides_xylanisolvens,0.64,0.71,1,0.24,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__glutamate decarboxylase,m__hmdb11718,s__odoribacter_splanchnicus,0.22,0.65,0.1,0.76,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__glutamate decarboxylase,m__hmdb11718,s__odoribacter_splanchnicus,0.22,0.65,0.1,0.23,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__glutamate decarboxylase,m__hmdb01991,s__anaerotruncus_unclassified,0.22,0.11,0.84,0.77,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__glutamate decarboxylase,m__hmdb01991,s__anaerotruncus_unclassified,0.22,0.11,0.84,0.22,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__glutamate decarboxylase,m__hmdb00139,s__alistipes_putredinis,0.22,0.45,0.89,0.24,FALSE,TRUE,FALSE,FALSE
s__clostridium_asparagiforme,,g__glutamate decarboxylase,m__hmdb00139,s__alistipes_putredinis,0.22,0.45,0.89,0.15,FALSE,TRUE,FALSE,FALSE
s__clostridiales_bacterium_1_7_47faa,,g__bacterial non-heme ferritin,m__hmdb00139,s__flavonifractor_plautii,0.49,0.19,0.23,0.83,FALSE,TRUE,FALSE,FALSE
s__clostridiales_bacterium_1_7_47faa,,g__bacterial non-heme ferritin,m__hmdb00089,s__roseburia_unclassified,0.49,0.28,0.98,0.23,FALSE,TRUE,FALSE,FALSE
s__clostridiales_bacterium_1_7_47faa,,g__bacterial non-heme ferritin,m__hmdb00089,s__holdemania_filiformis,0.49,0.28,0.16,0.8,FALSE,TRUE,FALSE,FALSE
s__clostridiales_bacterium_1_7_47faa,,g__bacterial non-heme ferritin,m__hmdb00089,s__holdemania_filiformis,0.49,0.28,0.16,0.8,FALSE,TRUE,FALSE,FALSE
s__clostridiales_bacterium_1_7_47faa,,g__bacterial non-heme ferritin,m__hmdb00089,s__coprobacillus_unclassified,0.49,0.28,0.18,0.61,FALSE,TRUE,FALSE,FALSE
s__clostridiales_bacterium_1_7_47faa,,g__bacterial non-heme ferritin,m__hmdb00089,s__clostridiales_bacterium_1_7_47faa,0.49,0.28,0.54,1,FALSE,TRUE,FALSE,FALSE
s__clostridiaceae_bacterium_jc118,,g__dna helicase,m__hmdb02123,s__clostridium_citroniae,0.64,1,0.55,0.99,FALSE,TRUE,FALSE,FALSE
s__clostridiaceae_bacterium_jc118,,g__dna helicase,m__hmdb02123,s__clostridium_citroniae,0.64,1,0.55,1,FALSE,TRUE,FALSE,FALSE
s__clostridiaceae_bacterium_jc118,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00174,s__ruminococcus_lactaris,0.1,0.83,0.74,0.23,FALSE,TRUE,FALSE,FALSE
s__clostridiaceae_bacterium_jc118,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00174,s__ruminococcus_lactaris,0.1,0.83,0.74,0.4,FALSE,TRUE,FALSE,FALSE
s__clostridiaceae_bacterium_jc118,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00174,s__clostridiaceae_bacterium_jc118,0.1,0.83,0.46,1,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb02322,s__sutterella_wadsworthensis,0.47,0.24,0.51,0.87,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb02322,s__c2likevirus_unclassified,0.47,0.24,1,1,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb02123,s__dialister_invisus,0.47,0.45,0.16,0.98,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00812,s__haemophilus_parainfluenzae,0.47,0.32,0.25,0.99,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00699,s__ruminococcus_callidus,0.47,1,0.28,0.98,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00699,s__escherichia_coli,0.47,1,0.12,1,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00139,s__faecalibacterium_prausnitzii,0.47,0.19,0.15,1,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00139,s__eubacterium_rectale,0.47,0.19,0.35,1,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00139,s__bifidobacterium_longum,0.47,0.19,0.11,0.15,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00139,s__bifidobacterium_longum,0.47,0.19,0.11,0.97,FALSE,TRUE,FALSE,FALSE
s__c2likevirus_unclassified,,g__bacterial non-heme ferritin,m__hmdb00118,s__roseburia_inulinivorans,0.47,0.21,0.34,0.99,FALSE,TRUE,FALSE,FALSE
s__burkholderiales_bacterium_1_1_47,,g__methionyl aminopeptidase,m__hmdb00806,s__clostridium_clostridioforme,0.22,0.95,1,0.47,FALSE,TRUE,FALSE,FALSE
s__burkholderiales_bacterium_1_1_47,,g__glutamate decarboxylase,m__hmdb11718,s__dorea_longicatena,0.95,0.65,0.11,0.14,FALSE,TRUE,FALSE,FALSE
s__burkholderiales_bacterium_1_1_47,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00764,s__bacteroides_vulgatus,0.17,0.31,0.42,0.22,FALSE,TRUE,FALSE,FALSE
